region,type,year,quarter,index_value
Plzeňský kraj,Byty,2019,4,156.4
Karlovarský kraj,Byty,2019,4,151.7
Ústecký kraj,Byty,2019,4,179.7
Liberecký kraj,Byty,2019,4,178.2
Královéhradecký kraj,Byty,2019,4,158.6
Pardubický kraj,Byty,2019,4,153.2
Kraj Vysočina,Byty,2019,4,171.7
Jihomoravský kraj,Byty,2019,4,158.9
Olomoucký kraj,Byty,2019,4,161
Zlínský kraj,Byty,2019,4,166.4
Česká republika,Byty,2019,year,159.8
ČR bez Prahy,Byty,2019,year,156
Hlavní město Praha,Byty,2019,year,164.8
Středočeský kraj,Byty,2019,year,156.6
Jihočeský kraj,Byty,2019,year,158
Plzeňský kraj,Byty,2019,year,155.7
Karlovarský kraj,Byty,2019,year,146.5
Ústecký kraj,Byty,2019,year,169.6
Liberecký kraj,Byty,2019,year,167.9
Královéhradecký kraj,Byty,2019,year,153.1
Pardubický kraj,Byty,2019,year,146.6
Kraj Vysočina,Byty,2019,year,159.1
Jihomoravský kraj,Byty,2019,year,154
Olomoucký kraj,Byty,2019,year,155.9
Zlínský kraj,Byty,2019,year,164.2
Česká republika,Domy,2020,1,157.7
ČR bez Prahy,Domy,2020,1,158.1
Hlavní město Praha,Domy,2020,1,155.2
Středočeský kraj,Domy,2020,1,165.1
Jihočeský kraj,Domy,2020,1,164.2
Plzeňský kraj,Domy,2020,1,153.1
Karlovarský kraj,Domy,2020,1,144.8
Ústecký kraj,Domy,2020,1,154.5
Liberecký kraj,Domy,2020,1,154.9
Královéhradecký kraj,Domy,2020,1,158.4
Pardubický kraj,Domy,2020,1,153.7
Kraj Vysočina,Domy,2020,1,149.5
Jihomoravský kraj,Domy,2020,1,162.1
Olomoucký kraj,Domy,2020,1,149.1
Zlínský kraj,Domy,2020,1,157.3
Česká republika,Domy,2020,2,161.7
ČR bez Prahy,Domy,2020,2,162.9
Hlavní město Praha,Domy,2020,2,153.7
Středočeský kraj,Domy,2020,2,174.6
Jihočeský kraj,Domy,2020,2,163.2
Plzeňský kraj,Domy,2020,2,160.2
Karlovarský kraj,Domy,2020,2,136.5
Ústecký kraj,Domy,2020,2,154.5
Liberecký kraj,Domy,2020,2,166.8
Královéhradecký kraj,Domy,2020,2,162.5
Pardubický kraj,Domy,2020,2,155.7
Kraj Vysočina,Domy,2020,2,157.3
Jihomoravský kraj,Domy,2020,2,168.2
Olomoucký kraj,Domy,2020,2,148.5
Zlínský kraj,Domy,2020,2,150.7
Česká republika,Domy,2020,3,169.4
ČR bez Prahy,Domy,2020,3,171.1
Hlavní město Praha,Domy,2020,3,157.6
Středočeský kraj,Domy,2020,3,179.8
Jihočeský kraj,Domy,2020,3,175.9
Plzeňský kraj,Domy,2020,3,172.2
Karlovarský kraj,Domy,2020,3,153
Ústecký kraj,Domy,2020,3,163.5
Liberecký kraj,Domy,2020,3,168.4
Královéhradecký kraj,Domy,2020,3,166.4
Pardubický kraj,Domy,2020,3,158.3
Kraj Vysočina,Domy,2020,3,171.9
Jihomoravský kraj,Domy,2020,3,178.5
Olomoucký kraj,Domy,2020,3,157.4
Zlínský kraj,Domy,2020,3,166.2
Česká republika,Domy,2020,4,176.2
ČR bez Prahy,Domy,2020,4,177.9
Hlavní město Praha,Domy,2020,4,164.4
Středočeský kraj,Domy,2020,4,184.4
Jihočeský kraj,Domy,2020,4,189
Plzeňský kraj,Domy,2020,4,186.8
Karlovarský kraj,Domy,2020,4,158.9
Ústecký kraj,Domy,2020,4,167
Liberecký kraj,Domy,2020,4,173.8
Královéhradecký kraj,Domy,2020,4,181.2
Pardubický kraj,Domy,2020,4,165.6
Kraj Vysočina,Domy,2020,4,179.4
Jihomoravský kraj,Domy,2020,4,182.4
Olomoucký kraj,Domy,2020,4,166.3
Zlínský kraj,Domy,2020,4,169.6
Česká republika,Domy,2020,year,166.3
ČR bez Prahy,Domy,2020,year,167.5
Hlavní město Praha,Domy,2020,year,157.7
Středočeský kraj,Domy,2020,year,176
Jihočeský kraj,Domy,2020,year,173.1
Plzeňský kraj,Domy,2020,year,168.1
Karlovarský kraj,Domy,2020,year,148.3
Ústecký kraj,Domy,2020,year,159.9
Liberecký kraj,Domy,2020,year,166
Královéhradecký kraj,Domy,2020,year,167.1
Pardubický kraj,Domy,2020,year,158.3
Kraj Vysočina,Domy,2020,year,164.5
Jihomoravský kraj,Domy,2020,year,172.8
Olomoucký kraj,Domy,2020,year,155.3
Zlínský kraj,Domy,2020,year,161
Česká republika,Byty,2020,1,172.6
ČR bez Prahy,Byty,2020,1,170.1
Hlavní město Praha,Byty,2020,1,175.8
Středočeský kraj,Byty,2020,1,171.4
Jihočeský kraj,Byty,2020,1,178.5
Plzeňský kraj,Byty,2020,1,160.6
Karlovarský kraj,Byty,2020,1,156.3
Ústecký kraj,Byty,2020,1,197.3
Liberecký kraj,Byty,2020,1,182.9
Královéhradecký kraj,Byty,2020,1,169.4
Pardubický kraj,Byty,2020,1,163.3
Kraj Vysočina,Byty,2020,1,172.7
Jihomoravský kraj,Byty,2020,1,167.7
Olomoucký kraj,Byty,2020,1,167.3
Zlínský kraj,Byty,2020,1,165.8
Česká republika,Byty,2020,2,180.9
ČR bez Prahy,Byty,2020,2,182
Hlavní město Praha,Byty,2020,2,179.4
Středočeský kraj,Byty,2020,2,182.8
Jihočeský kraj,Byty,2020,2,190.4
Plzeňský kraj,Byty,2020,2,176.2
Karlovarský kraj,Byty,2020,2,161.7
Ústecký kraj,Byty,2020,2,207.9
Liberecký kraj,Byty,2020,2,194.8
Královéhradecký kraj,Byty,2020,2,180.3
Pardubický kraj,Byty,2020,2,179
Kraj Vysočina,Byty,2020,2,178.2
Jihomoravský kraj,Byty,2020,2,178.7
Olomoucký kraj,Byty,2020,2,180.9
Zlínský kraj,Byty,2020,2,185.6
Česká republika,Byty,2020,3,185.7
ČR bez Prahy,Byty,2020,3,183.6
Hlavní město Praha,Byty,2020,3,188.4
Středočeský kraj,Byty,2020,3,185.4
Jihočeský kraj,Byty,2020,3,189.8
Plzeňský kraj,Byty,2020,3,172.1
Karlovarský kraj,Byty,2020,3,159.5
Ústecký kraj,Byty,2020,3,214.9
Liberecký kraj,Byty,2020,3,196.3
Královéhradecký kraj,Byty,2020,3,186.3
Pardubický kraj,Byty,2020,3,179
Kraj Vysočina,Byty,2020,3,196.1
