region,type,year,quarter,index_value
Královéhradecký kraj,Domy,2023,2,224.8
Pardubický kraj,Domy,2023,2,218.3
Kraj Vysočina,Domy,2023,2,217.1
Jihomoravský kraj,Domy,2023,2,224.7
Olomoucký kraj,Domy,2023,2,221
Zlínský kraj,Domy,2023,2,209.2
Česká republika,Domy,2023,3,222.3
ČR bez Prahy,Domy,2023,3,224.9
Hlavní město Praha,Domy,2023,3,204.6
Středočeský kraj,Domy,2023,3,236.7
Jihočeský kraj,Domy,2023,3,223.8
Plzeňský kraj,Domy,2023,3,233
Karlovarský kraj,Domy,2023,3,190.3
Ústecký kraj,Domy,2023,3,217.3
Liberecký kraj,Domy,2023,3,221.2
Královéhradecký kraj,Domy,2023,3,224.7
Pardubický kraj,Domy,2023,3,216.8
Kraj Vysočina,Domy,2023,3,212.6
Jihomoravský kraj,Domy,2023,3,223.5
Olomoucký kraj,Domy,2023,3,226
Zlínský kraj,Domy,2023,3,218.4
Česká republika,Domy,2023,4,222.5
ČR bez Prahy,Domy,2023,4,224.5
Hlavní město Praha,Domy,2023,4,209.2
Středočeský kraj,Domy,2023,4,239.8
Jihočeský kraj,Domy,2023,4,222.1
Plzeňský kraj,Domy,2023,4,244.1
Karlovarský kraj,Domy,2023,4,190.1
Ústecký kraj,Domy,2023,4,204.6
Liberecký kraj,Domy,2023,4,231.4
Královéhradecký kraj,Domy,2023,4,219
Pardubický kraj,Domy,2023,4,210
Kraj Vysočina,Domy,2023,4,205.2
Jihomoravský kraj,Domy,2023,4,217.5
Olomoucký kraj,Domy,2023,4,226.9
Zlínský kraj,Domy,2023,4,217.2
Česká republika,Domy,2023,year,222.3
ČR bez Prahy,Domy,2023,year,225.2
Hlavní město Praha,Domy,2023,year,202.7
Středočeský kraj,Domy,2023,year,237.6
Jihočeský kraj,Domy,2023,year,223.3
Plzeňský kraj,Domy,2023,year,234.1
Karlovarský kraj,Domy,2023,year,188.5
Ústecký kraj,Domy,2023,year,217.2
Liberecký kraj,Domy,2023,year,225.5
Královéhradecký kraj,Domy,2023,year,225.6
Pardubický kraj,Domy,2023,year,214.6
Kraj Vysočina,Domy,2023,year,212.2
Jihomoravský kraj,Domy,2023,year,223.7
Olomoucký kraj,Domy,2023,year,225.5
Zlínský kraj,Domy,2023,year,212.6
Česká republika,Byty,2023,1,243.6
ČR bez Prahy,Byty,2023,1,250.9
Hlavní město Praha,Byty,2023,1,234
Středočeský kraj,Byty,2023,1,243.7
Jihočeský kraj,Byty,2023,1,263.3
Plzeňský kraj,Byty,2023,1,240.3
Karlovarský kraj,Byty,2023,1,228.6
Ústecký kraj,Byty,2023,1,323.9
Liberecký kraj,Byty,2023,1,269.7
Královéhradecký kraj,Byty,2023,1,260.1
Pardubický kraj,Byty,2023,1,236.8
Kraj Vysočina,Byty,2023,1,263.7
Jihomoravský kraj,Byty,2023,1,238.9
Olomoucký kraj,Byty,2023,1,235.5
Zlínský kraj,Byty,2023,1,256.1
Česká republika,Byty,2023,2,243
ČR bez Prahy,Byty,2023,2,249.1
Hlavní město Praha,Byty,2023,2,235
Středočeský kraj,Byty,2023,2,242.9
Jihočeský kraj,Byty,2023,2,262.8
Plzeňský kraj,Byty,2023,2,238.9
Karlovarský kraj,Byty,2023,2,234.8
Ústecký kraj,Byty,2023,2,318.2
Liberecký kraj,Byty,2023,2,265.2
Královéhradecký kraj,Byty,2023,2,260.1
Pardubický kraj,Byty,2023,2,229.3
Kraj Vysočina,Byty,2023,2,265.2
Jihomoravský kraj,Byty,2023,2,235.5
Olomoucký kraj,Byty,2023,2,238.7
Zlínský kraj,Byty,2023,2,246.2
Česká republika,Byty,2023,3,242.7
ČR bez Prahy,Byty,2023,3,248.9
Hlavní město Praha,Byty,2023,3,234.7
Středočeský kraj,Byty,2023,3,243.5
Jihočeský kraj,Byty,2023,3,259.2
Plzeňský kraj,Byty,2023,3,233.9
Karlovarský kraj,Byty,2023,3,229.2
Ústecký kraj,Byty,2023,3,318.8
Liberecký kraj,Byty,2023,3,271.6
Královéhradecký kraj,Byty,2023,3,257.7
Pardubický kraj,Byty,2023,3,236.5
Kraj Vysočina,Byty,2023,3,273.6
Jihomoravský kraj,Byty,2023,3,235.7
Olomoucký kraj,Byty,2023,3,231.7
Zlínský kraj,Byty,2023,3,250.5
Česká republika,Byty,2023,4,243.4
ČR bez Prahy,Byty,2023,4,250.9
Hlavní město Praha,Byty,2023,4,233.6
Středočeský kraj,Byty,2023,4,247.2
Jihočeský kraj,Byty,2023,4,260.1
Plzeňský kraj,Byty,2023,4,235
Karlovarský kraj,Byty,2023,4,227.9
Ústecký kraj,Byty,2023,4,324.9
Liberecký kraj,Byty,2023,4,261.5
Královéhradecký kraj,Byty,2023,4,261.1
Pardubický kraj,Byty,2023,4,233
Kraj Vysočina,Byty,2023,4,264.5
Jihomoravský kraj,Byty,2023,4,240.5
Olomoucký kraj,Byty,2023,4,238.2
Zlínský kraj,Byty,2023,4,252.2
Česká republika,Byty,2023,year,243.2
ČR bez Prahy,Byty,2023,year,250
Hlavní město Praha,Byty,2023,year,234.3
Středočeský kraj,Byty,2023,year,244.3
Jihočeský kraj,Byty,2023,year,261.4
Plzeňský kraj,Byty,2023,year,237
Karlovarský kraj,Byty,2023,year,230.1
Ústecký kraj,Byty,2023,year,321.5
Liberecký kraj,Byty,2023,year,267
Královéhradecký kraj,Byty,2023,year,259.8
Pardubický kraj,Byty,2023,year,233.9
Kraj Vysočina,Byty,2023,year,266.8
Jihomoravský kraj,Byty,2023,year,237.7
Olomoucký kraj,Byty,2023,year,236
Zlínský kraj,Byty,2023,year,251.3
