region,year,price,type
Kraj Vysočina,2020,30393,Rodinné domy
Havlíčkův Brod,2020,29353,Rodinné domy
Jihlava,2020,35019,Rodinné domy
Pelhřimov,2020,28674,Rodinné domy
Třebíč,2020,26434,Rodinné domy
Žďár nad Sázavou,2020,31033,Rodinné domy
Jihomoravský kraj,2020,35685,Rodinné domy
Blansko,2020,29293,Rodinné domy
Brno-město,2020,53555,Rodinné domy
Brno-venkov,2020,35423,Rodinné domy
Břeclav,2020,33451,Rodinné domy
Hodonín,2020,26377,Rodinné domy
Vyškov,2020,32893,Rodinné domy
Znojmo,2020,30245,Rodinné domy
Olomoucký kraj,2020,27107,Rodinné domy
Jeseník,2020,24985,Rodinné domy
Olomouc,2020,31923,Rodinné domy
Prostějov,2020,25912,Rodinné domy
Přerov,2020,23870,Rodinné domy
Šumperk,2020,24726,Rodinné domy
Zlínský kraj,2020,28130,Rodinné domy
Kroměříž,2020,23230,Rodinné domy
Uherské Hradiště,2020,27113,Rodinné domy
Vsetín,2020,28406,Rodinné domy
Zlín,2020,31353,Rodinné domy
Moravskoslezský kraj,2020,30126,Rodinné domy
Bruntál,2020,24681,Rodinné domy
Frýdek-Místek,2020,30133,Rodinné domy
Karviná,2020,29428,Rodinné domy
Nový Jičín,2020,27285,Rodinné domy
Opava,2020,30572,Rodinné domy
Ostrava-město,2020,36098,Rodinné domy
Česká republika,2021,43044,Rodinné domy
Hlavní město Praha,2021,95870,Rodinné domy
Středočeský kraj,2021,58253,Rodinné domy
Benešov,2021,42116,Rodinné domy
Beroun,2021,39834,Rodinné domy
Kladno,2021,45682,Rodinné domy
Kolín,2021,40185,Rodinné domy
Kutná Hora,2021,39348,Rodinné domy
Mělník,2021,42162,Rodinné domy
Mladá Boleslav,2021,40576,Rodinné domy
Nymburk,2021,39148,Rodinné domy
Praha-východ,2021,82717,Rodinné domy
Praha-západ,2021,76225,Rodinné domy
Příbram,2021,41104,Rodinné domy
Rakovník,2021,38461,Rodinné domy
Jihočeský kraj,2021,39495,Rodinné domy
České Budějovice,2021,46406,Rodinné domy
Český Krumlov,2021,41795,Rodinné domy
Jindřichův Hradec,2021,36801,Rodinné domy
Písek,2021,29531,Rodinné domy
Prachatice,2021,33644,Rodinné domy
Strakonice,2021,35142,Rodinné domy
Tábor,2021,35522,Rodinné domy
Plzeňský kraj,2021,39338,Rodinné domy
Domažlice,2021,34020,Rodinné domy
Klatovy,2021,36723,Rodinné domy
Plzeň-jih,2021,33410,Rodinné domy
Plzeň-město,2021,59169,Rodinné domy
Plzeň-sever,2021,39441,Rodinné domy
Rokycany,2021,34141,Rodinné domy
Tachov,2021,34264,Rodinné domy
Karlovarský kraj,2021,32743,Rodinné domy
Cheb,2021,28452,Rodinné domy
Karlovy Vary,2021,36743,Rodinné domy
Sokolov,2021,32228,Rodinné domy
Ústecký kraj,2021,32157,Rodinné domy
Děčín,2021,30544,Rodinné domy
Chomutov,2021,33693,Rodinné domy
Litoměřice,2021,33211,Rodinné domy
Louny,2021,26577,Rodinné domy
Most,2021,36548,Rodinné domy
Teplice,2021,34607,Rodinné domy
Ústí nad Labem,2021,38977,Rodinné domy
Liberecký kraj,2021,39535,Rodinné domy
Česká Lípa,2021,34111,Rodinné domy
Jablonec nad Nisou,2021,35877,Rodinné domy
Liberec,2021,44406,Rodinné domy
Semily,2021,35630,Rodinné domy
Královéhradecký kraj,2021,37787,Rodinné domy
Hradec Králové,2021,48667,Rodinné domy
Jičín,2021,33988,Rodinné domy
Náchod,2021,31070,Rodinné domy
Rychnov nad Kněžnou,2021,33325,Rodinné domy
Trutnov,2021,35148,Rodinné domy
Pardubický kraj,2021,36512,Rodinné domy
Chrudim,2021,34266,Rodinné domy
Pardubice,2021,44351,Rodinné domy
Svitavy,2021,34945,Rodinné domy
Ústí nad Orlicí,2021,35104,Rodinné domy
Kraj Vysočina,2021,35732,Rodinné domy
Havlíčkův Brod,2021,33881,Rodinné domy
Jihlava,2021,39886,Rodinné domy
Pelhřimov,2021,34962,Rodinné domy
Třebíč,2021,33178,Rodinné domy
Žďár nad Sázavou,2021,36999,Rodinné domy
Jihomoravský kraj,2021,42844,Rodinné domy
Blansko,2021,38019,Rodinné domy
Brno-město,2021,66229,Rodinné domy
Brno-venkov,2021,41565,Rodinné domy
Břeclav,2021,37851,Rodinné domy
Hodonín,2021,34099,Rodinné domy
Vyškov,2021,38000,Rodinné domy
Znojmo,2021,33475,Rodinné domy
Olomoucký kraj,2021,32519,Rodinné domy
